year,player,team,stat,line,line_low,line_high,odds_low,odds_high,book,proj,source,snapshot
2023,Josh Allen,BUF,rush_yds,588,550.5,625.5,,,,645,fantasypoints,https://web.archive.org/web/20230614022112id_/https://www.fantasypoints.com/nfl/articles/2023/nfl-rushing-yardage-props
2023,Jahmyr Gibbs,DET,rush_yds,580.5,580.5,580.5,,,,885,fantasypoints,https://web.archive.org/web/20230614022112id_/https://www.fantasypoints.com/nfl/articles/2023/nfl-rushing-yardage-props
2023,D'Andre Swift,PHI,rush_yds,578,575.5,580.5,,,,645,fantasypoints,https://web.archive.org/web/20230614022112id_/https://www.fantasypoints.com/nfl/articles/2023/nfl-rushing-yardage-props
2023,Daniel Jones,NYG,rush_yds,575.5,575.5,575.5,,,,565,fantasypoints,https://web.archive.org/web/20230614022112id_/https://www.fantasypoints.com/nfl/articles/2023/nfl-rushing-yardage-props
2024,Christian McCaffrey,SF,rush_td,11,10.5,11.5,-120,-115,,11,fantasypoints,https://web.archive.org/web/20240627020904id_/https://www.fantasypoints.com/nfl/articles/2024/nfl-rushing-touchdown-props
2024,Derrick Henry,BAL,rush_td,11,10.5,11.5,+100,-161,,10,fantasypoints,https://web.archive.org/web/20240627020904id_/https://www.fantasypoints.com/nfl/articles/2024/nfl-rushing-touchdown-props
2024,Jalen Hurts,PHI,rush_td,10,9.5,10.5,-105,-115,,9,fantasypoints,https://web.archive.org/web/20240627020904id_/https://www.fantasypoints.com/nfl/articles/2024/nfl-rushing-touchdown-props
2024,Josh Allen,BUF,rush_td,10,9.5,10.5,+135,-130,,8,fantasypoints,https://web.archive.org/web/20240627020904id_/https://www.fantasypoints.com/nfl/articles/2024/nfl-rushing-touchdown-props
2024,Jonathan Taylor,IND,rush_td,9.5,9.5,9.5,-115,-115,,10,fantasypoints,https://web.archive.org/web/20240627020904id_/https://www.fantasypoints.com/nfl/articles/2024/nfl-rushing-touchdown-props
2024,Kyren Williams,LAR,rush_td,9.5,9.5,9.5,+120,-115,,6,fantasypoints,https://web.archive.org/web/20240627020904id_/https://www.fantasypoints.com/nfl/articles/2024/nfl-rushing-touchdown-props
