year,team,win_total_line,actual_wins,beat_margin,new_coach,sos_this_year_line,prior_year_under,prior_beat_margin,prior_actual_wins,prior_avg_point_diff,prior_pyth_wins,prior_luck,sos_prior_year_wins,adp_top100_count,adp_linear_weight
2022,IND,10.0,4,-6.0,0,8.206,0.5,0.0,9,5.059,10.59,-1.59,7.941,3,206
2022,JAX,6.5,9,2.5,1,8.441,1,-3.5,3,-12.0,3.36,-0.36,7.941,2,97
2022,KC,10.5,14,3.5,0,9.118,1,-0.5,12,6.824,11.19,0.81,9.059,4,206
2022,LAC,10.5,10,-0.5,0,8.471,1,-0.5,9,0.882,8.82,0.18,8.824,4,296
2022,LAR,10.5,5,-5.5,0,8.912,0,1.5,12,5.176,10.59,1.41,9.647,4,237
2022,LV,8.5,6,-2.5,1,8.912,0,2.5,10,-3.824,6.91,3.09,8.941,5,221
2022,MIA,9.0,9,0.0,1,8.529,0.5,0.0,9,-1.882,7.6,1.4,8.118,4,157
2022,MIN,9.5,13,3.5,1,8.412,1,-1.0,8,-0.059,8.48,-0.48,8.176,4,263
2022,NE,8.5,8,-0.5,0,8.706,0,0.5,10,9.353,12.43,-2.43,8.412,3,20
2022,NO,9.0,7,-2.0,1,8.353,0.5,0.0,9,1.706,9.33,-0.33,8.941,3,147
2022,NYG,7.0,9,2.0,1,8.235,1,-3.0,4,-9.294,4.14,-0.14,7.882,2,86
2022,NYJ,5.5,7,1.5,0,8.765,1,-2.0,4,-11.412,4.08,-0.08,8.353,1,42
2022,PHI,10.0,14,4.0,0,8.029,0,2.5,9,3.471,9.92,-0.92,7.824,3,163
2022,PIT,7.5,9,1.5,0,8.853,0,0.5,9,-3.235,7.02,1.98,8.706,2,122
2022,SEA,5.5,9,3.5,0,8.676,1,-2.5,7,1.706,9.27,-2.27,8.765,2,60
2022,SF,10.0,13,3.0,0,8.324,1,-0.5,10,3.647,10.06,-0.06,9.059,4,220
2022,TB,11.0,8,-3.0,1,8.324,0,1.0,13,9.294,12.0,1.0,9.059,5,327
2022,TEN,9.0,7,-2.0,0,8.735,0,2.5,12,3.824,10.18,1.82,8.0,2,111
2022,WAS,7.5,8,0.5,0,8.176,1,-1.5,7,-5.824,5.97,1.03,7.824,2,64
2023,ARI,4.5,4,-0.5,1,8.824,1,-4.5,4,-6.412,5.8,-1.8,8.706,3,77
2023,ATL,8.5,7,-1.5,0,7.618,0,2.5,7,-1.235,7.94,-0.94,7.0,3,127
2023,BAL,10.0,13,3.0,0,8.676,1,-0.5,10,2.059,9.56,0.44,8.118,3,196
2023,BUF,10.5,11,0.5,0,8.882,0,1.0,13,10.562,12.01,0.99,9.118,3,198
2023,CAR,7.5,2,-5.5,1,8.206,0,0.5,7,-1.588,7.75,-0.75,7.647,1,42
2023,CHI,7.5,7,-0.5,0,8.147,1,-2.5,3,-8.059,5.16,-2.16,8.412,2,129
2023,CIN,11.0,9,-2.0,0,8.676,0,2.5,12,6.0,10.4,1.6,8.588,4,317
2023,CLE,9.0,11,2.0,0,8.618,1,-1.0,7,-1.176,7.96,-0.96,7.706,3,202
2023,DAL,10.0,12,2.0,0,8.559,0,2.0,12,7.353,11.5,0.5,9.176,4,233
2023,DEN,8.5,8,-0.5,1,8.647,1,-5.0,5,-4.235,6.3,-1.3,8.706,4,111
2023,DET,9.5,12,2.5,0,8.441,0,2.5,9,1.529,9.09,-0.09,8.412,4,199
2023,GB,7.5,9,1.5,0,8.324,1,-3.0,8,-0.059,8.47,-0.47,8.059,3,75
2023,HOU,6.5,10,3.5,1,8.235,1,-1.5,3,-7.706,4.96,-1.96,7.235,1,48
2023,IND,6.5,9,2.5,1,8.118,1,-6.0,4,-8.118,4.83,-0.83,7.294,2,74
2023,JAX,9.5,9,-0.5,0,8.5,0,2.5,9,3.176,9.93,-0.93,7.941,4,211
2023,KC,11.5,11,-0.5,0,8.882,0,3.5,14,7.471,11.36,2.64,8.647,3,211
