year,team,win_total_line,actual_wins,beat_margin,new_coach,sos_this_year_line,prior_year_under,prior_beat_margin,prior_actual_wins,prior_avg_point_diff,prior_pyth_wins,prior_luck,sos_prior_year_wins,adp_top100_count,adp_linear_weight,target_pyth_wins,target_avg_point_diff,target_luck
2018,TB,6.5,5,-1.5,0,8.5,1,-3.5,5,-2.938,6.77,-1.77,8.5,3,99,6.52,-4.25,-1.5199999999999996
2018,TEN,8.0,9,1.0,1,8.125,0.5,0.0,9,-1.375,7.4,1.6,7.438,5,167,8.22,0.438,0.7799999999999994
2018,WAS,7.0,7,0.0,0,8.438,1,-0.5,7,-2.875,6.81,0.19,8.062,2,38,5.74,-4.875,1.2599999999999998
2019,ARI,5.0,5,0.0,1,8.375,1,-3.0,3,-12.5,2.9,0.1,8.062,3,147,6.12,-5.062,-1.12
2019,ATL,8.5,7,-1.5,0,8.344,1,-2.5,7,-0.562,7.8,-0.8,8.25,4,256,7.56,-1.125,-0.5599999999999996
2019,BAL,8.5,14,5.5,0,8.188,0,1.5,10,6.375,10.76,-0.76,7.812,2,85,13.08,15.562,0.9199999999999999
2019,BUF,7.0,10,3.0,0,7.875,0,0.5,6,-6.562,5.03,0.97,7.625,1,18,9.79,3.438,0.21000000000000085
2019,CAR,8.0,5,-3.0,0,8.156,1,-1.5,7,-0.375,7.85,-0.85,8.0,3,180,5.07,-8.125,-0.07000000000000028
2019,CHI,9.0,8,-1.0,0,8.406,0,4.5,12,8.625,11.51,0.49,8.188,4,108,7.41,-1.125,0.5899999999999999
2019,CIN,6.0,2,-4.0,1,8.188,1,-1.0,6,-5.438,6.03,-0.03,7.438,3,137,4.4,-8.812,-2.4000000000000004
2019,CLE,9.0,6,-3.0,1,7.875,0,1.0,7,-2.062,7.17,-0.17,7.688,4,270,6.5,-3.625,-0.5
2019,DAL,9.0,8,-1.0,0,8.062,0,1.5,10,0.938,8.43,1.57,8.0,3,189,10.74,7.062,-2.74
2019,DEN,7.0,7,0.0,1,8.406,1,-1.0,6,-1.25,7.44,-1.44,8.5,1,39,6.93,-2.125,0.07000000000000028
2019,DET,6.5,3,-3.5,0,8.125,1,-1.5,6,-2.25,7.01,-1.01,7.812,3,119,6.0,-5.125,-3.0
2019,GB,9.0,13,4.0,1,8.094,1,-4.0,6,-1.5,7.41,-1.41,8.0,3,241,9.71,3.938,3.289999999999999
