year,team,n_games,sos_this_year_line,n_opponents_with_line,sos_prior_year_wins,n_opponents_with_prior_wins
2023,KC,17,8.882,17,8.647,17
2023,LAC,17,8.853,17,8.765,17
2023,LAR,17,8.647,17,8.941,17
2023,LV,17,8.941,17,8.824,17
2023,MIA,17,8.912,17,9.294,17
2023,MIN,17,8.824,17,8.412,17
2023,NE,17,9.147,17,9.176,17
2023,NO,17,7.559,17,7.176,17
2023,NYG,17,8.676,17,9.235,17
2023,NYJ,17,8.853,17,9.118,17
2023,PHI,17,8.353,17,9.471,17
2023,PIT,17,8.382,17,7.882,17
2023,SEA,17,8.412,17,8.706,17
2023,SF,17,8.147,17,8.647,17
2023,TB,17,8.647,17,8.118,17
2023,TEN,17,8.441,17,7.471,17
2023,WAS,17,8.853,17,9.0,17
2024,ARI,17,8.559,17,8.294,17
2024,ATL,17,7.588,17,7.706,17
2024,BAL,17,8.647,17,9.118,17
2024,BUF,17,8.706,17,8.765,17
2024,CAR,17,8.294,17,7.941,17
2024,CHI,17,8.118,17,7.941,17
2024,CIN,17,8.029,17,8.529,17
2024,CLE,17,8.824,17,9.294,17
2024,DAL,17,8.588,17,8.588,17
2024,DEN,17,8.647,17,8.412,17
2024,DET,17,8.529,17,8.647,17
2024,GB,17,8.618,17,8.941,17
2024,HOU,17,8.735,17,8.941,17
2024,IND,17,8.147,17,8.353,17
2024,JAX,17,8.471,17,8.706,17
2024,KC,17,8.265,17,8.529,17
2024,LAC,17,7.794,17,8.118,17
2024,LAR,17,8.588,17,8.588,17
2024,LV,17,8.618,17,8.706,17
2024,MIA,17,8.265,17,8.294,17
2024,MIN,17,8.882,17,8.529,17
2024,NE,17,9.088,17,8.706,17
2024,NO,17,8.118,17,7.706,17
2024,NYG,17,8.471,17,8.765,17
2024,NYJ,17,8.029,17,8.588,17
2024,PHI,17,8.265,17,8.353,17
2024,PIT,17,8.971,17,9.059,17
2024,SEA,17,8.529,17,8.294,17
2024,SF,17,8.5,17,8.588,17
2024,TB,17,8.441,17,8.118,17
2024,TEN,17,8.735,17,8.353,17
2024,WAS,17,8.441,17,8.529,17
2025,ARI,17,8.5,17,7.765,17
2025,ATL,17,8.206,17,8.118,17
2025,BAL,17,8.794,17,9.059,17
2025,BUF,17,8.265,17,7.941,17
2025,CAR,17,8.382,17,7.765,17
2025,CHI,17,8.853,17,9.706,17
2025,CIN,17,8.735,17,8.647,17
2025,CLE,17,9.206,17,8.824,17
2025,DAL,17,8.853,17,9.471,17
2025,DEN,17,8.618,17,8.588,17
2025,DET,17,9.147,17,9.706,17
2025,GB,17,8.794,17,9.471,17
2025,HOU,17,8.853,17,8.176,17
2025,IND,17,8.559,17,7.882,17
2025,JAX,17,8.441,17,7.941,17
2025,KC,17,8.853,17,8.882,17
2025,LAC,17,8.559,17,8.882,17
2025,LAR,17,8.735,17,8.353,17
2025,LV,17,8.676,17,8.529,17
2025,MIA,17,8.5,17,8.059,17
2025,MIN,17,9.029,17,9.471,17
2025,NE,17,7.912,17,7.294,17
2025,NO,17,8.324,17,7.118,17
2025,NYG,17,9.206,17,9.765,17
2025,NYJ,17,8.5,17,7.824,17
2025,PHI,17,8.971,17,9.529,17
2025,PIT,17,8.853,17,8.941,17
2025,SEA,17,8.5,17,8.059,17
2025,SF,17,7.735,17,7.059,17
2025,TB,17,8.382,17,8.176,17
2025,TEN,17,8.265,17,7.647,17
2025,WAS,17,8.794,17,9.353,17
