year,team,win_total_line,over_odds,under_odds,actual_wins,result,games,points_for,points_against,point_diff,avg_point_diff,pyth_win_pct,pyth_wins,n_games,sos_actual_wins,sos_pyth_wins,sos_this_year_line,next_actual_wins,next_pyth_wins,next_win_total_line,sos_next_yr_line,win_change,pyth_win_change,schedule_delta_actual,schedule_delta_pyth,luck
2023,CHI,7.5,-140,120,7,Under,17,360,379,-19,-1.118,0.4696,7.98,17,7.882352941176471,8.100588235294119,8.147,5,6.74,8.5,8.118,-2,-1.2400000000000002,0.23564705882352932,0.017411764705881794,-0.9800000000000004
2024,CHI,8.5,-165,145,5,Under,17,310,370,-60,-3.529,0.3967,6.74,17,9.411764705882353,8.841764705882353,8.118,11,9.11,8.5,8.853,6,2.369999999999999,-0.5587647058823535,0.011235294117646788,-1.7400000000000002
2015,CIN,8.5,100,-120,12,Over,16,419,279,140,8.75,0.7239,11.58,16,7.625,7.916875,8.156,6,8.3,9.5,8.094,-6,-3.2799999999999994,0.4689999999999994,0.1771249999999993,0.41999999999999993
2016,CIN,9.5,100,-120,6,Under,16,325,315,10,0.625,0.5185,8.3,16,8.3125,8.111875,8.094,7,6.27,8.5,7.844,1,-2.030000000000001,-0.4684999999999997,-0.2678749999999992,-2.3000000000000007
2017,CIN,8.5,120,-140,7,Under,16,290,349,-59,-3.688,0.392,6.27,16,7.4375,7.661875,7.844,6,6.03,7.0,8.156,-1,-0.23999999999999932,0.7185000000000006,0.49412500000000037,0.7300000000000004
2018,CIN,7.0,-135,115,6,Under,16,368,455,-87,-5.438,0.3768,6.03,16,8.4375,8.51625,8.156,2,4.4,6.0,8.188,-4,-1.63,-0.2494999999999994,-0.3282499999999988,-0.03000000000000025
2019,CIN,6.0,130,-150,2,Under,16,279,420,-141,-8.812,0.275,4.4,16,8.8125,8.260625,8.188,4,5.19,5.5,8.375,2,0.79,-0.4375,0.11437500000000078,-2.4000000000000004
2020,CIN,5.5,-150,130,4,Under,16,311,424,-113,-7.062,0.3242,5.19,16,8.4375,8.27875,8.375,10,10.49,6.5,8.941,6,5.3,0.5035000000000007,0.6622500000000002,-1.1900000000000004
2021,CIN,6.5,-110,-110,10,Over,17,460,376,84,4.941,0.6172,10.49,17,7.9411764705882355,7.630000000000001,8.941,12,10.4,9.5,8.469,2,-0.08999999999999986,0.5278235294117639,0.8389999999999986,-0.4900000000000002
2022,CIN,9.5,-130,110,12,Over,16,418,322,96,6.0,0.6499,10.4,16,8.625,8.4625,8.469,9,8.02,11.0,8.676,-3,-2.380000000000001,0.051000000000000156,0.2134999999999998,1.5999999999999996
2023,CIN,11.0,100,-120,9,Under,17,366,384,-18,-1.059,0.4716,8.02,17,9.764705882352942,9.390588235294118,8.676,9,9.34,10.5,8.029,0,1.3200000000000003,-1.735705882352942,-1.3615882352941178,0.9800000000000004
2024,CIN,10.5,100,-120,9,Under,17,472,434,38,2.235,0.5496,9.34,17,8.117647058823529,8.00470588235294,8.029,6,6.79,9.5,8.735,-3,-2.55,0.6173529411764704,0.730294117647059,-0.33999999999999986
2015,CLE,6.5,155,-175,3,Under,16,278,432,-154,-9.625,0.2602,4.16,16,8.5,8.691875,8.156,1,3.5,4.5,8.406,-2,-0.6600000000000001,-0.09399999999999942,-0.285874999999999,-1.1600000000000001
2016,CLE,4.5,-150,130,1,Under,16,264,452,-188,-11.75,0.2185,3.5,16,8.6875,8.725,8.406,0,3.35,4.5,8.125,-1,-0.1499999999999999,-0.5625,-0.5999999999999996,-2.5
2017,CLE,4.5,-180,150,0,Under,16,234,410,-176,-11.0,0.2093,3.35,16,8.3125,8.296875,8.125,7,7.17,6.0,8.312,7,3.82,-0.0005000000000006111,0.015124999999999389,-3.35
