year,team,pyth_wins_T,sos_pyth_T,pyth_wins_T1,sos_pyth_T1,opp_pyth_delta
2023,NYJ,5.77,8.468823529411765,7.84,8.833529411764706,-0.36470588235294166
2023,PHI,8.62,8.213529411764705,11.64,7.885294117647059,0.32823529411764607
2023,PIT,7.86,8.913529411764706,7.34,8.73058823529412,0.18294117647058705
2023,SEA,7.5,8.49705882352941,8.65,8.262352941176472,0.2347058823529391
2023,SF,13.01,8.178823529411764,12.91,7.535882352941178,0.6429411764705861
2023,TB,9.19,8.452941176470588,7.16,8.69,-0.2370588235294111
2023,TEN,6.67,8.588235294117647,6.65,8.464705882352941,0.12352941176470544
2023,WAS,4.32,8.37,7.83,8.781764705882352,-0.41176470588235325
2024,ARI,9.04,8.721176470588235,5.41,8.972941176470588,-0.2517647058823531
2024,ATL,7.66,8.551176470588235,7.0,7.642941176470589,0.9082352941176461
2024,BAL,11.93,8.715882352941176,13.34,8.598235294117647,0.117647058823529
2024,BUF,11.88,7.86529411764706,12.02,7.751764705882353,0.11352941176470654
2024,CAR,4.36,8.701176470588235,3.52,8.975882352941177,-0.2747058823529418
2024,CHI,6.74,8.841764705882353,7.98,8.100588235294119,0.7411764705882344
2024,CIN,9.34,8.00470588235294,8.02,9.390588235294118,-1.3858823529411772
2024,CLE,3.82,9.01705882352941,9.4,8.64,0.3770588235294099
2024,DAL,5.68,8.745882352941177,12.87,7.283529411764706,1.462352941176471
2024,DEN,11.51,8.268823529411764,7.05,8.481764705882354,-0.21294117647058997
2024,DET,13.02,8.611764705882353,10.04,8.715882352941176,-0.10411764705882298
2024,GB,11.47,8.712941176470588,9.4,8.079411764705881,0.633529411764707
2024,HOU,8.5,8.051176470588235,9.16,7.871764705882352,0.1794117647058826
2024,IND,7.25,8.066470588235294,8.03,8.236470588235294,-0.16999999999999993
2024,JAX,5.54,8.031764705882352,8.66,8.965294117647058,-0.9335294117647059
2024,KC,10.15,8.727058823529413,10.79,8.184117647058823,0.54294117647059
2024,LAC,11.31,8.069411764705883,7.1,9.064117647058824,-0.9947058823529407
2024,LAR,7.99,8.742941176470588,9.2,8.75235294117647,-0.009411764705882675
2024,LV,5.25,8.935882352941176,8.53,8.164117647058823,0.7717647058823527
2024,MIA,7.96,7.47,10.83,7.754117647058823,-0.2841176470588236
2024,MIN,11.07,8.272941176470587,7.99,8.718235294117646,-0.44529411764705884
2024,NE,5.02,8.218823529411765,4.44,8.676470588235293,-0.45764705882352885
2024,NO,6.87,8.297647058823529,10.54,7.38470588235294,0.9129411764705884
2024,NYG,4.6,8.762941176470589,4.55,8.721764705882352,0.041176470588236924
2024,NYJ,6.73,8.288235294117648,5.77,8.468823529411765,-0.18058823529411683
2024,PHI,12.44,7.722352941176471,8.62,8.213529411764705,-0.49117647058823444
2024,PIT,9.41,8.434117647058823,7.86,8.913529411764706,-0.4794117647058833
2024,SEA,8.69,8.614117647058823,7.5,8.49705882352941,0.11705882352941188
2024,SF,7.36,8.955882352941176,13.01,8.178823529411764,0.777058823529412
2024,TB,11.09,8.33235294117647,9.19,8.452941176470588,-0.1205882352941181
2024,TEN,4.82,8.690588235294118,6.67,8.588235294117647,0.10235294117647165
2024,WAS,10.62,7.67764705882353,4.32,8.37,-0.6923529411764688
2025,ARI,5.44,9.37235294117647,9.04,8.721176470588235,0.6511764705882346
2025,ATL,7.23,8.275882352941176,7.66,8.551176470588235,-0.2752941176470589
2025,BAL,9.14,8.634705882352941,11.93,8.715882352941176,-0.0811764705882343
2025,BUF,11.18,7.924117647058824,11.88,7.86529411764706,0.0588235294117645
2025,CAR,6.52,8.598235294117648,4.36,8.701176470588235,-0.10294117647058698
2025,CHI,9.11,8.08235294117647,6.74,8.841764705882353,-0.7594117647058827
2025,CIN,6.79,8.61235294117647,9.34,8.00470588235294,0.6076470588235292
2025,CLE,5.54,8.121176470588235,3.82,9.01705882352941,-0.8958823529411752
2025,DAL,7.68,7.817058823529411,5.68,8.745882352941177,-0.9288235294117655
2025,DEN,10.99,7.777647058823529,11.51,8.268823529411764,-0.49117647058823444
2025,DET,10.02,8.542941176470588,13.02,8.611764705882353,-0.06882352941176428
