year,team,line_change,bucket,win_total_line,actual_wins,beat_margin,result
2021,LAC,1.5,mod_rise (+0.5..+2.5),9.5,9,-0.5,Under
2021,LAR,2.0,mod_rise (+0.5..+2.5),10.5,12,1.5,Over
2021,MIA,3.0,big_rise (>=+2.5),9.0,9,0.0,Push
2021,MIN,0.0,stable (-0.5..+0.5),9.0,8,-1.0,Under
2021,NE,0.5,mod_rise (+0.5..+2.5),9.5,10,0.5,Over
2021,NO,-1.5,mod_drop (-2.5..-0.5),9.0,9,0.0,Push
2021,NYG,0.5,mod_rise (+0.5..+2.5),7.0,4,-3.0,Under
2021,NYJ,-0.5,mod_drop (-2.5..-0.5),6.0,4,-2.0,Under
2021,PHI,-3.0,big_drop (<=-2.5),6.5,9,2.5,Over
2021,PIT,-1.0,mod_drop (-2.5..-0.5),8.5,9,0.5,Over
2021,SF,0.0,stable (-0.5..+0.5),10.5,10,-0.5,Under
2021,SEA,0.0,stable (-0.5..+0.5),9.5,7,-2.5,Under
2021,TB,2.5,big_rise (>=+2.5),12.0,13,1.0,Over
2021,TEN,1.0,mod_rise (+0.5..+2.5),9.5,12,2.5,Over
2021,WAS,3.5,big_rise (>=+2.5),8.5,7,-1.5,Under
2022,ARI,0.0,stable (-0.5..+0.5),8.5,4,-4.5,Under
2022,ATL,-3.0,big_drop (<=-2.5),4.5,7,2.5,Over
2022,BAL,0.0,stable (-0.5..+0.5),10.5,10,-0.5,Under
2022,BUF,0.5,mod_rise (+0.5..+2.5),12.0,13,1.0,Over
2022,CAR,-1.0,mod_drop (-2.5..-0.5),6.5,7,0.5,Over
2022,CHI,-2.0,mod_drop (-2.5..-0.5),5.5,3,-2.5,Under
2022,CIN,3.0,big_rise (>=+2.5),9.5,12,2.5,Over
2022,CLE,-2.5,big_drop (<=-2.5),8.0,7,-1.0,Under
2022,DAL,1.0,mod_rise (+0.5..+2.5),10.0,12,2.0,Over
2022,DEN,1.0,mod_rise (+0.5..+2.5),10.0,5,-5.0,Under
2022,DET,2.0,mod_rise (+0.5..+2.5),6.5,9,2.5,Over
2022,GB,0.5,mod_rise (+0.5..+2.5),11.0,8,-3.0,Under
2022,HOU,0.5,mod_rise (+0.5..+2.5),4.5,3,-1.5,Under
2022,IND,1.0,mod_rise (+0.5..+2.5),10.0,4,-6.0,Under
2022,JAX,0.0,stable (-0.5..+0.5),6.5,9,2.5,Over
2022,KC,-2.0,mod_drop (-2.5..-0.5),10.5,14,3.5,Over
2022,LV,1.0,mod_rise (+0.5..+2.5),8.5,6,-2.5,Under
2022,LAC,1.0,mod_rise (+0.5..+2.5),10.5,10,-0.5,Under
2022,LAR,0.0,stable (-0.5..+0.5),10.5,5,-5.5,Under
2022,MIA,0.0,stable (-0.5..+0.5),9.0,9,0.0,Push
2022,MIN,0.5,mod_rise (+0.5..+2.5),9.5,13,3.5,Over
2022,NE,-1.0,mod_drop (-2.5..-0.5),8.5,8,-0.5,Under
2022,NO,0.0,stable (-0.5..+0.5),9.0,7,-2.0,Under
2022,NYG,0.0,stable (-0.5..+0.5),7.0,9,2.0,Over
2022,NYJ,-0.5,mod_drop (-2.5..-0.5),5.5,7,1.5,Over
2022,PHI,3.5,big_rise (>=+2.5),10.0,14,4.0,Over
2022,PIT,-1.0,mod_drop (-2.5..-0.5),7.5,9,1.5,Over
2022,SF,-0.5,mod_drop (-2.5..-0.5),10.0,13,3.0,Over
2022,SEA,-4.0,big_drop (<=-2.5),5.5,9,3.5,Over
2022,TB,-1.0,mod_drop (-2.5..-0.5),11.0,8,-3.0,Under
2022,TEN,-0.5,mod_drop (-2.5..-0.5),9.0,7,-2.0,Under
2022,WAS,-1.0,mod_drop (-2.5..-0.5),7.5,8,0.5,Over
2023,ARI,-4.0,big_drop (<=-2.5),4.5,4,-0.5,Under
2023,ATL,4.0,big_rise (>=+2.5),8.5,7,-1.5,Under
2023,BAL,-0.5,mod_drop (-2.5..-0.5),10.0,13,3.0,Over
2023,BUF,-1.5,mod_drop (-2.5..-0.5),10.5,11,0.5,Over
2023,CAR,1.0,mod_rise (+0.5..+2.5),7.5,2,-5.5,Under
2023,CHI,2.0,mod_rise (+0.5..+2.5),7.5,7,-0.5,Under
2023,CIN,1.5,mod_rise (+0.5..+2.5),11.0,9,-2.0,Under
2023,CLE,1.0,mod_rise (+0.5..+2.5),9.0,11,2.0,Over
2023,DAL,0.0,stable (-0.5..+0.5),10.0,12,2.0,Over
2023,DEN,-1.5,mod_drop (-2.5..-0.5),8.5,8,-0.5,Under
2023,DET,3.0,big_rise (>=+2.5),9.5,12,2.5,Over
