year,team,win_total_line,actual_wins,result,beat_margin,top25_count,top50_count,top100_count,linear_weight,reciprocal_weight,best_rank
2023,BUF,10.5,11,Over,0.5,2,2,3,198,40.39,3
2023,CAR,7.5,2,Under,-5.5,0,0,1,42,1.69,59
2023,CHI,7.5,7,Under,-0.5,1,1,2,129,9.36,13
2023,CIN,11.0,9,Under,-2.0,2,4,4,317,33.35,6
2023,CLE,9.0,11,Over,2.0,1,3,3,202,11.32,15
2023,DAL,10.0,12,Over,2.0,2,3,4,233,13.16,22
2023,DEN,8.5,8,Under,-0.5,0,0,4,111,5.91,51
2023,DET,9.5,12,Over,2.5,1,2,4,199,9.38,24
2023,GB,7.5,9,Over,1.5,0,1,3,75,4.58,41
2023,HOU,6.5,10,Over,3.5,0,0,1,48,1.89,53
2023,IND,6.5,9,Over,2.5,0,0,2,74,3.16,57
2023,JAX,9.5,9,Under,-0.5,1,3,4,211,10.98,20
2023,KC,11.5,11,Under,-0.5,2,2,3,211,115.48,1
2023,LV,6.5,8,Over,1.5,0,2,2,149,7.55,26
2023,LAC,9.5,5,Under,-4.5,2,3,4,255,20.88,11
2023,LAR,6.5,10,Over,3.5,1,1,3,139,9.83,14
2023,MIA,9.5,11,Over,1.5,1,3,3,227,18.39,8
2023,MIN,8.5,7,Under,-1.5,1,3,4,252,56.29,2
2023,NE,7.5,4,Under,-3.5,0,1,1,62,2.56,39
2023,NO,9.5,9,Under,-0.5,0,1,4,137,7.24,30
2023,NYG,7.5,6,Under,-1.5,1,2,3,168,9.23,18
2023,NYJ,9.5,7,Under,-2.5,1,2,4,221,11.73,19
2023,PHI,11.5,11,Under,-0.5,2,2,6,287,35.22,4
2023,PIT,9.0,10,Over,1.0,0,1,3,106,5.66,31
2023,SF,11.0,12,Over,1.0,1,2,4,207,25.22,5
2023,SEA,9.0,9,Push,0.0,0,2,4,158,6.96,46
2023,TB,6.0,9,Over,3.0,0,0,3,87,4.22,61
2023,TEN,7.5,6,Under,-1.5,1,1,2,111,6.19,21
2023,WAS,6.5,4,Under,-2.5,0,0,3,34,3.38,78
2024,ARI,7.0,8,Over,1.0,1,2,4,193,10.89,17
2024,ATL,9.5,8,Under,-1.5,1,3,4,226,15.17,12
2024,BAL,10.5,12,Over,1.5,1,2,4,224,26.29,5
2024,BUF,10.0,13,Over,3.0,1,2,3,168,103.25,1
2024,CAR,5.5,5,Under,-0.5,0,0,2,3,2.01,99
2024,CHI,8.5,5,Under,-3.5,0,1,4,170,8.12,27
2024,CIN,10.5,9,Under,-1.5,2,2,3,187,18.23,10
2024,CLE,8.5,3,Under,-5.5,0,1,3,143,5.78,42
2024,DAL,10.0,7,Under,-3.0,2,2,2,179,19.17,8
2024,DEN,5.5,10,Over,4.5,0,0,0,0,0,101
2024,DET,10.5,15,Over,4.5,2,2,4,237,12.44,20
2024,GB,10.0,11,Over,1.0,1,1,3,102,9.82,13
2024,HOU,9.5,10,Over,0.5,1,2,4,249,22.81,6
2024,IND,8.5,8,Under,-0.5,2,2,3,211,18.85,9
2024,JAX,8.5,4,Under,-4.5,0,1,3,114,5.69,32
2024,KC,11.5,15,Over,3.5,1,3,6,245,33.21,4
2024,LV,6.5,4,Under,-2.5,0,0,2,72,3.17,54
2024,LAC,9.0,11,Over,2.0,1,1,2,88,5.45,23
2024,LAR,8.5,10,Over,1.5,0,4,4,282,13.33,26
2024,MIA,10.0,8,Under,-2.0,2,4,5,316,25.93,7
2024,MIN,6.5,14,Over,7.5,1,1,2,122,6.9,19
2024,NE,4.5,4,Under,-0.5,0,0,1,23,1.28,78
2024,NO,7.5,5,Under,-2.5,0,0,3,106,4.7,51
2024,NYG,6.5,3,Under,-3.5,0,0,2,50,2.7,64
2024,NYJ,9.5,5,Under,-4.5,2,3,3,236,16.32,11
2024,PHI,10.5,14,Over,3.5,3,3,4,299,60.97,2
2024,PIT,8.0,10,Over,2.0,0,0,4,89,5.22,65
2024,SF,11.5,6,Under,-5.5,1,2,4,212,38.53,3
2024,SEA,7.5,10,Over,2.5,0,2,3,155,6.1,46
2024,TB,7.5,10,Over,2.5,0,3,4,186,8.14,39
2024,TEN,6.5,3,Under,-3.5,0,0,3,72,4.03,59
2024,WAS,6.5,12,Over,5.5,0,1,2,91,4.24,34
2025,ARI,8.5,3,Under,-5.5,1,2,4,208,9.38,25
2025,ATL,8.5,8,Under,-0.5,1,2,3,176,18.47,7
2025,BAL,11.5,8,Under,-3.5,2,2,4,224,113.49,1
2025,BUF,12.5,12,Under,-0.5,1,2,2,164,52.78,2
2025,CAR,6.5,8,Over,1.5,0,1,3,103,4.81,46
2025,CHI,8.5,11,Over,2.5,0,1,4,130,6.76,34
2025,CIN,9.5,6,Under,-3.5,2,4,4,323,51.62,3
2025,CLE,4.5,5,Over,0.5,0,0,1,18,1.2,83
2025,DAL,7.5,7,Under,-0.5,2,2,3,185,10.93,19
2025,DEN,9.5,14,Over,4.5,1,1,3,150,9.23,16
2025,DET,10.5,9,Under,-1.5,1,3,6,317,19.39,11
2025,GB,10.5,9,Under,-1.5,1,2,3,147,9.03,17
2025,HOU,9.5,12,Over,2.5,1,1,2,124,6.33,22
2025,IND,7.5,8,Over,0.5,1,1,1,88,7.69,13
2025,JAX,7.5,13,Over,5.5,0,1,3,131,6.58,28
2025,KC,11.5,6,Under,-5.5,1,1,4,162,14.04,10
2025,LV,6.5,3,Under,-3.5,1,1,3,154,8.66,18
2025,LAC,9.5,11,Over,1.5,0,3,3,178,7.21,40
2025,LAR,9.5,12,Over,2.5,1,3,4,230,11.92,21
2025,MIA,7.5,7,Under,-0.5,0,2,4,173,8.21,29
2025,MIN,9.5,9,Under,-0.5,1,2,5,181,13.17,14
2025,NE,8.5,14,Over,5.5,0,1,2,101,4.22,38
2025,NO,4.5,6,Over,1.5,0,0,2,54,2.99,51
2025,NYG,5.5,5,Under,-0.5,1,1,2,90,5.3,24
2025,NYJ,6.5,3,Under,-3.5,0,1,3,133,5.48,43
2025,PHI,11.5,11,Under,-0.5,2,3,4,293,41.43,5
2025,PIT,8.5,10,Over,1.5,0,1,3,70,4.2,50
2025,SF,10.5,12,Over,1.5,2,2,4,216,14.38,15
2025,SEA,8.5,14,Over,5.5,0,0,3,89,4.53,53
2025,TB,9.5,8,Under,-1.5,1,3,3,223,14.56,12
2025,TEN,6.5,3,Under,-3.5,0,0,2,55,2.72,72
2025,WAS,9.5,5,Under,-4.5,1,1,3,160,28.01,4
