year,player,team,pos,season_finish,per_game_finish
2023,Keaton Mitchell,BAL,RB,112.0,
2023,D'Onta Foreman,CLE,RB,78.0,
2023,Samaje Perine,DEN,RB,207.0,
2023,Jauan Jennings,SF,WR,266.0,
2023,Calvin Austin III,PIT,WR,255.0,
2023,Tutu Atwell,LAR,WR,155.0,
2023,Xavier Gipson,NYJ,WR,299.0,
2023,Kendrick Bourne,NE,WR,79.0,
2023,Elijah Moore,CLE,WR,179.0,
2023,Tucker Kraft,GB,TE,242.0,
2023,Daniel Bellinger,NYG,TE,334.0,
2023,Zach Ertz,WAS,TE,287.0,
2023,Hayden Hurst,LAC,TE,229.0,
2023,Gerald Everett,CHI,TE,218.0,
2023,Davis Allen,LAR,TE,258.0,
2023,Kenneth Gainwell,PHI,RB,276.0,
2023,Miles Sanders,CAR,RB,220.0,
2023,Rondale Moore,ATL,WR,203.0,
2023,Marquez Valdes-Scantling,BUF,WR,236.0,
2023,John Metchie III,HOU,WR,334.0,
2023,Allen Lazard,NYJ,WR,250.0,
2023,Trey Palmer,TB,WR,251.0,
2023,Bo Melton,GB,WR,334.0,
2023,Zay Jones,ARI,WR,156.0,
2023,Jalen Brooks,DAL,WR,334.0,
2023,Parker Washington,JAX,WR,186.0,
2023,Hunter Renfrow,,WR,350.0,
2023,Cam Akers,HOU,RB,268.0,
2023,Cordarrelle Patterson,PIT,RB,334.0,
2023,Eric Gray,NYG,RB,334.0,
2023,Chase Claypool,BUF,WR,270.0,
2023,Brandon Powell,MIN,WR,309.0,
2023,Trent Sherfield,MIN,WR,334.0,
2023,Mecole Hardman Jr.,KC,WR,334.0,
2024,Ja'Marr Chase,CIN,WR,2.0,
2024,CeeDee Lamb,DAL,WR,29.0,
2024,Saquon Barkley,PHI,RB,1.0,
2024,Jahmyr Gibbs,DET,RB,3.0,
2024,Bijan Robinson,ATL,RB,5.0,
2024,Nico Collins,HOU,WR,21.0,
2024,Justin Jefferson,MIN,WR,18.0,
2024,Amon-Ra St. Brown,DET,WR,9.0,
2024,Puka Nacua,LAR,WR,20.0,
2024,Brian Thomas,JAX,WR,25.0,
2024,Malik Nabers,NYG,WR,28.0,
2024,Drake London,ATL,WR,34.0,
2024,De'Von Achane,MIA,RB,15.0,
2024,Derrick Henry,BAL,RB,4.0,
2024,A.J. Brown,PHI,WR,37.0,
2024,Tee Higgins,CIN,WR,12.0,
2024,Josh Jacobs,GB,RB,7.0,
2024,Jonathan Taylor,IND,RB,6.0,
2024,Trey McBride,ARI,TE,60.0,
2024,Brock Bowers,LV,TE,52.0,
2024,Ladd McConkey,LAC,WR,33.0,
2024,Bucky Irving,TB,RB,32.0,
2024,Chase Brown,CIN,RB,22.0,
2024,Lamar Jackson,BAL,QB,24.0,
2024,Josh Allen,BUF,QB,30.0,
2024,Tyreek Hill,MIA,WR,78.0,
2024,Jayden Daniels,WAS,QB,39.0,
2024,George Kittle,SF,TE,36.0,
2024,James Cook,BUF,RB,11.0,
2024,Jalen Hurts,PHI,QB,49.0,
2024,Mike Evans,TB,WR,17.0,
2024,Davante Adams,LAR,WR,27.0,
2024,Garrett Wilson,NYJ,WR,57.0,
2024,Xavier Worthy,KC,WR,47.0,
2024,George Pickens,DAL,WR,86.0,
2024,Kenneth Walker III,SEA,RB,26.0,
2024,Terry McLaurin,WAS,WR,23.0,
2024,Alvin Kamara,NO,RB,10.0,
2024,Chuba Hubbard,CAR,RB,16.0,
2024,James Conner,ARI,RB,19.0,
2024,Kyren Williams,LAR,RB,14.0,
2024,Courtland Sutton,DEN,WR,54.0,
2024,Jaxon Smith-Njigba,SEA,WR,44.0,
2024,Calvin Ridley,TEN,WR,88.0,
2024,Jaylen Waddle,MIA,WR,136.0,
2024,Breece Hall,NYJ,RB,35.0,
2024,Marvin Harrison,ARI,WR,74.0,
2024,DeVonta Smith,PHI,WR,48.0,
2024,Zay Flowers,BAL,WR,80.0,
2024,DK Metcalf,PIT,WR,82.0,
2024,Joe Burrow,CIN,QB,41.0,
2024,Tony Pollard,TEN,RB,62.0,
2024,Ricky Pearsall,SF,WR,92.0,
2024,D.J. Moore,CHI,WR,70.0,
2024,Jameson Williams,DET,WR,51.0,
2024,Jerry Jeudy,CLE,WR,55.0,
2024,Jauan Jennings,SF,WR,53.0,
2024,Josh Downs,IND,WR,67.0,
2024,Rome Odunze,CHI,WR,145.0,
2024,Chris Olave,NO,WR,98.0,
2024,Deebo Samuel,WAS,WR,94.0,
2024,Jakobi Meyers,LV,WR,69.0,
2024,Stefon Diggs,NE,WR,50.0,
2024,Patrick Mahomes,KC,QB,114.0,
2024,Isiah Pacheco,KC,RB,172.0,
2024,David Montgomery,DET,RB,31.0,
2024,Aaron Jones,MIN,RB,45.0,
2024,D'Andre Swift,CHI,RB,63.0,
2024,Travis Kelce,KC,TE,89.0,
2024,Sam LaPorta,DET,TE,103.0,
2024,Darnell Mooney,ATL,WR,71.0,
2024,Jordan Addison,MIN,WR,43.0,
2024,Rashid Shaheed,NO,WR,40.0,
2024,Brock Purdy,SF,QB,97.0,
2024,Bo Nix,DEN,QB,99.0,
2024,Kyler Murray,ARI,QB,108.0,
2024,Mark Andrews,BAL,TE,96.0,
2024,T.J. Hockenson,MIN,TE,153.0,
2024,Tucker Kraft,GB,TE,118.0,
2024,Michael Pittman Jr.,IND,WR,122.0,
2024,Travis Etienne Jr.,JAX,RB,182.0,
2024,Zach Charbonnet,SEA,RB,77.0,
2024,J.K. Dobbins,DEN,RB,42.0,
2024,Jayden Reed,GB,WR,83.0,
2024,Keon Coleman,BUF,WR,169.0,
2024,Cooper Kupp,SEA,WR,46.0,
2024,Jordan Mason,MIN,RB,87.0,
2024,Khalil Shakir,BUF,WR,113.0,
2024,Keenan Allen,LAC,WR,66.0,
2024,Evan Engram,DEN,TE,180.0,
2024,Baker Mayfield,TB,QB,56.0,
2024,Dak Prescott,DAL,QB,162.0,
2024,Caleb Williams,CHI,QB,124.0,
2024,Jaylen Warren,PIT,RB,177.0,
2024,Tyrone Tracy,NYG,RB,81.0,
2024,Justin Herbert,LAC,QB,141.0,
2024,Justin Fields,NYJ,QB,148.0,
2024,Drake Maye,NE,QB,262.0,
2024,Jared Goff,DET,QB,68.0,
2024,Dalton Kincaid,BUF,TE,258.0,
2024,Rhamondre Stevenson,NE,RB,61.0,
2024,Rashod Bateman,BAL,WR,91.0,
2024,Marvin Mims Jr.,DEN,WR,107.0,
2024,Christian Kirk,HOU,WR,151.0,
2024,Jordan Love,GB,QB,173.0,
2024,David Njoku,CLE,TE,75.0,
2024,Brandon Aiyuk,SF,WR,157.0,
2024,Chris Godwin,TB,WR,13.0,
2024,Braelon Allen,NYJ,RB,217.0,
2024,Ray Davis,BUF,RB,146.0,
2024,Javonte Williams,DAL,RB,130.0,
2024,Austin Ekeler,WAS,RB,115.0,
2024,Tank Bigsby,JAX,RB,95.0,
2024,C.J. Stroud,HOU,QB,269.0,
2024,Trevor Lawrence,JAX,QB,206.0,
2024,Dallas Goedert,PHI,TE,123.0,
2024,Jake Ferguson,DAL,TE,228.0,
2024,Tyler Allgeier,ATL,RB,212.0,
2024,Brian Robinson Jr.,SF,RB,72.0,
2024,Will Shipley,PHI,RB,193.0,
2024,Cedric Tillman,CLE,WR,93.0,
2024,Romeo Doubs,GB,WR,137.0,
2024,Darius Slayton,NYG,WR,167.0,
2024,Kyle Pitts,ATL,TE,152.0,
2024,Chig Okonkwo,TEN,TE,221.0,
2024,Xavier Legette,CAR,WR,179.0,
2024,Jalen Coker,CAR,WR,138.0,
2024,Bryce Young,CAR,QB,117.0,
2024,Joshua Palmer,BUF,WR,244.0,
2024,Adam Thielen,MIN,WR,59.0,
2024,Demario Douglas,NE,WR,170.0,
2024,Rico Dowdle,CAR,RB,65.0,
2024,Tyjae Spears,TEN,RB,101.0,
2024,Trey Benson,ARI,RB,248.0,
2024,Geno Smith,LV,QB,168.0,
2024,Najee Harris,LAC,RB,90.0,
2024,Rachaad White,TB,RB,58.0,
2024,Jerome Ford,CLE,RB,112.0,
2024,Joe Mixon,HOU,RB,8.0,
2024,Tua Tagovailoa,MIA,QB,111.0,
2024,Sam Darnold,SEA,QB,109.0,
2024,Hunter Henry,NE,TE,158.0,
2024,Theo Johnson,NYG,TE,251.0,
2024,Isaiah Likely,BAL,TE,126.0,
2024,Jonnu Smith,PIT,TE,64.0,
2024,Dalton Schultz,HOU,TE,231.0,
2024,Brenton Strange,JAX,TE,242.0,
2024,Zach Ertz,WAS,TE,110.0,
2024,Matthew Stafford,LAR,QB,183.0,
2024,Daniel Jones,IND,QB,189.0,
2024,Aaron Rodgers,PIT,QB,165.0,
2024,Michael Wilson,ARI,WR,209.0,
2024,Quentin Johnston,LAC,WR,76.0,
2024,Dyami Brown,JAX,WR,195.0,
2024,Roschon Johnson,CHI,RB,219.0,
2024,Isaac Guerendo,SF,RB,106.0,
2024,Ja'Tavion Sanders,CAR,TE,274.0,
