year,player_id,player,team,team_start,traded,position,games,carries,rushing_yards,rushing_tds,rushing_first_downs,receptions,receiving_yards,receiving_tds,rush_rec_yards,rush_rec_tds
2024,00-0037324,Chris Oladokun,KC,KC,,QB,1,1,5,0,0,0,0,0,5,0
2024,00-0037740,Garrett Wilson,NYJ,NYJ,,WR,17,2,5,0,1,101,1104,7,1109,7
2024,00-0038496,Xavier Gipson,NYJ,NYJ,,WR,17,1,5,0,1,6,39,1,44,1
2024,00-0039062,Jonathan Mingo,DAL,CAR,yes,WR,14,2,5,0,0,17,167,0,172,0
2024,00-0032434,Brandon Allen,SF,SF,,QB,3,3,4,0,0,0,0,0,4,0
2024,00-0034272,Marquez Valdes-Scantling,NO,BUF,yes,WR,13,1,4,0,0,19,411,4,415,4
2024,00-0036450,Ke'Shawn Vaughn,SF,SF,,RB,1,2,4,0,0,0,0,0,4,0
2024,00-0037261,Khalil Shakir,BUF,BUF,,WR,15,2,4,0,0,76,821,4,825,4
2024,00-0037327,Skylar Thompson,MIA,MIA,,QB,2,1,4,0,0,0,0,0,4,0
2024,00-0033009,Tyler Boyd,TEN,TEN,,WR,15,1,3,0,1,39,390,0,393,0
2024,00-0036297,Darrynton Evans,CHI,CHI,,RB,1,3,3,0,0,0,0,0,3,0
2024,00-0036322,Justin Jefferson,MIN,MIN,,WR,17,1,3,0,0,103,1533,10,1536,10
2024,00-0036331,Devin Duvernay,JAX,JAX,,WR,13,4,3,0,1,11,79,0,82,0
2024,00-0039703,Cody Schrader,LAR,LAR,,RB,1,1,3,0,0,1,6,0,9,0
2024,00-0033921,Chris Godwin Jr.,TB,TB,,WR,7,1,2,0,1,50,576,5,578,5
2024,00-0034974,Julian Love,SEA,SEA,,SAF,17,1,2,0,1,0,0,0,2,0
2024,00-0035659,Terry McLaurin,WAS,WAS,,WR,17,2,2,0,0,82,1096,13,1098,13
2024,00-0036370,Joshua Kelley,TEN,TEN,,RB,1,1,2,0,0,0,0,0,2,0
2024,00-0037077,Sam Howell,SEA,SEA,,QB,1,1,2,0,0,0,0,0,2,0
2024,00-0037744,Trey McBride,ARI,ARI,,TE,16,1,2,1,1,111,1146,2,1148,3
2024,00-0038046,Charlie Kolar,BAL,BAL,,TE,10,1,2,0,1,9,131,1,133,1
2024,00-0038108,Bailey Zappe,CLE,CLE,,QB,1,2,2,0,0,0,0,0,2,0
2024,00-0038550,Hendon Hooker,DET,DET,,QB,3,5,2,0,1,0,0,0,2,0
