year,team,head_coach,new_coach,tenure,win_total_line,actual_wins,result,beat_margin,prior_actual_wins,prior_win_total_line,wins_change,line_change
2020,CAR,Matt Rhule,1,1,5.5,5,Under,-0.5,5,8.0,0,-2.5
2020,CHI,Matt Nagy,0,3,8.0,8,Push,0.0,8,9.0,0,-1.0
2020,CIN,Zac Taylor,0,2,5.5,4,Under,-1.5,2,6.0,2,-0.5
2020,CLE,Kevin Stefanski,1,1,8.5,11,Over,2.5,6,9.0,5,-0.5
2020,DAL,Mike McCarthy,1,1,10.0,6,Under,-4.0,8,9.0,-2,1.0
2020,DEN,Vic Fangio,0,2,7.5,5,Under,-2.5,7,7.0,-2,0.5
2020,DET,Matt Patricia,0,3,7.0,5,Under,-2.0,3,6.5,2,0.5
2020,GB,Matt LaFleur,0,2,8.5,13,Over,4.5,13,9.0,0,-0.5
2020,HOU,Bill O'Brien,0,7,7.5,4,Under,-3.5,10,8.5,-6,-1.0
2020,IND,Frank Reich,0,3,9.5,11,Over,1.5,7,7.5,4,2.0
2020,JAX,Doug Marrone,0,4,4.5,1,Under,-3.5,6,8.0,-5,-3.5
2020,KC,Andy Reid,0,7,11.5,14,Over,2.5,12,10.5,2,1.0
2020,LV,Jon Gruden,0,3,7.5,8,Over,0.5,7,6.0,1,1.5
2020,LAC,Anthony Lynn,0,4,8.0,7,Under,-1.0,5,10.0,2,-2.0
2020,LAR,Sean McVay,0,4,8.5,10,Over,1.5,9,10.5,1,-2.0
2020,MIA,Brian Flores,0,2,6.0,10,Over,4.0,5,4.5,5,1.5
2020,MIN,Mike Zimmer,0,7,9.0,7,Under,-2.0,10,9.0,-3,0.0
2020,NE,Bill Belichick,0,7,9.0,7,Under,-2.0,12,11.5,-5,-2.5
2020,NO,Sean Payton,0,7,10.5,12,Over,1.5,13,10.5,-1,0.0
2020,NYG,Joe Judge,1,1,6.5,6,Under,-0.5,4,6.0,2,0.5
2020,NYJ,Adam Gase,0,2,6.5,2,Under,-4.5,7,7.5,-5,-1.0
2020,PHI,Doug Pederson,0,5,9.5,4,Under,-5.5,9,10.0,-5,-0.5
2020,PIT,Mike Tomlin,0,7,9.5,12,Over,2.5,8,9.5,4,0.0
2020,SF,Kyle Shanahan,0,4,10.5,6,Under,-4.5,13,8.0,-7,2.5
2020,SEA,Pete Carroll,0,7,9.5,12,Over,2.5,11,9.0,1,0.5
2020,TB,Bruce Arians,0,2,9.5,11,Over,1.5,7,6.5,4,3.0
2020,TEN,Mike Vrabel,0,3,8.5,11,Over,2.5,9,8.0,2,0.5
2020,WAS,Ron Rivera,1,1,5.0,7,Over,2.0,3,6.0,4,-1.0
2021,ARI,Kliff Kingsbury,0,3,8.5,11,Over,2.5,8,7.5,3,1.0
2021,ATL,Arthur Smith,1,1,7.5,7,Under,-0.5,4,7.5,3,0.0
2021,BAL,John Harbaugh,0,8,10.5,8,Under,-2.5,11,11.5,-3,-1.0
2021,BUF,Sean McDermott,0,5,11.5,11,Under,-0.5,13,9.0,-2,2.5
2021,CAR,Matt Rhule,0,2,7.5,5,Under,-2.5,5,5.5,0,2.0
2021,CHI,Matt Nagy,0,4,7.5,6,Under,-1.5,8,8.0,-2,-0.5
2021,CIN,Zac Taylor,0,3,6.5,10,Over,3.5,4,5.5,6,1.0
2021,CLE,Kevin Stefanski,0,2,10.5,8,Under,-2.5,11,8.5,-3,2.0
2021,DAL,Mike McCarthy,0,2,9.0,12,Over,3.0,6,10.0,6,-1.0
2021,DEN,Vic Fangio,0,3,9.0,7,Under,-2.0,5,7.5,2,1.5
2021,DET,Dan Campbell,1,1,4.5,3,Under,-1.5,5,7.0,-2,-2.5
2021,GB,Matt LaFleur,0,3,10.5,13,Over,2.5,13,8.5,0,2.0
2021,HOU,David Culley,1,1,4.0,4,Push,0.0,4,7.5,0,-3.5
2021,IND,Frank Reich,0,4,9.0,9,Push,0.0,11,9.5,-2,-0.5
2021,JAX,Urban Meyer,1,1,6.5,3,Under,-3.5,1,4.5,2,2.0
2021,KC,Andy Reid,0,8,12.5,12,Under,-0.5,14,11.5,-2,1.0
